# Adjective,Comparative(-er),Superlative(-est)
happy,happier,happiest
lovely,lovelier,loveliest
pretty,prettier,prettiest
shitty,shittier,shittiest
ugly,uglier,ugliest
warped,more warped,most warped
low,lower,lowest
high,higher,highest
ice,icier,iciest
cold,colder,coldest
warm,warmer,warmest
hot,hotter,hottest
subtle,more subtle,most subtle
blithering,more blithering,most blithering
spotless,more spotless,most spotless
clean,cleaner,cleanest
dirty,dirtier,dirtiest
filthy,more filthy,filthiest
slippery,more slippery,slipperiest
black,blacker,blackest
white,whiter,whitest
green,greener,greenest
blue,bluer,bluest
orange,more orange,most orange
yellow,yellower,yellowest
red,redder,reddest
amber,more amber,most amber
dark,darker,darkest
light,lighter,lightest
shiny,shinier,shiniest
colorful,more colorful,most colorful
dull,duller,dullest
murky,murkier,murkiest
tepid,more tepid,most tepid
sordid,more sordid,most sordid
succulent,more succulent,most succulent
sensual,more sensual,most sensual
subliminal,more subliminal,most subliminal
campy,campier,campiest
ample,more ample,most ample
large,larger,largest
small,smaller,smallest
medium,more medium,most medium
average,more average,most average
compact,more compact,most compact
huge,huger,hugest
tiny,tinier,tiniest
dismal,more dismal,most dismal
decayed,more decayed,most decayed
rubber,rubberier,rubberiest
plastic,more plastic,most plastic
ceramic,more ceramic,most ceramic
glass,glassier,glassiest
angry,angrier,angriest
nervous,more nervous,most nervous
neurotic,more neurotic,most neurotic
psychotic,more psychotic,most psychotic
evil,more evil,most evil
specific,more specific,most specific
semantic,more semantic,most semantic
effective,more effective,most effective
smelly,smellier,smelliest
old,older,oldest
worn,more worn,most worn
used,more used,most used
new,newer,newest
ancient,more ancient,most ancient
tribal,more tribal,most tribal
hidden,more hidden,most hidden
forbidden,more forbidden,most forbidden
square,squarer,more square
round,rounder,roundest
necessary,more necessary,most necessary
bad,worse,worst
little,less,least
much,more,most
far,farther,farthest
morbid,more morbid,most morbid
