#singular,plural
angry_mob,angry_mobs
arm,arms
ass,asses
bald_head,bald_heads
ball,balls
bar,bars
bat,bats
bench,benches
big_hand,big_hands
bike,bikes
bird,birds
book,books
booth,booths
bottle,bottles
brain,brains
cannibal,cannibals
car,cars
car_accident,car_accidents
cat,cats
chain,chains
chalk,chalks
cheese_ball,cheese_balls
chicken_part,chicken_parts
chihuahua,chihuahuas
circuit,circuits
clip,clips
clock,clocks
clump,clumps
cluster,clusters
coconut,coconuts
coffee,coffees
cook,cooks
demon,demons
devil,devils
dish,dishes
dog,dogs
egg,eggs
elephant,elephants
elevator,elevators
envelope,envelopes
eraser,erasers
explosion,explosions
farm,farms
fart-gift,fart-gifts
fish,fishes
fjord,fjords
gift,gifts
glass,glasses
glass_elephant,glass_elephants
glove,gloves
grain,grains
grass,grasses
hand,hands
jar,jars
knife,knives
law,laws
leg,legs
loaf,loafs
lump,lumps
mass,masses
match,matches
meat,meats
meat_part,meat_parts
mess,messes
mouse,mice
mushroom,mushrooms
mustard,mustards
nail,nails
napkin,napkins
newt,newts
novel,novels
nut,nuts
octopus,octopodes
oil,oils
paint,paints
pastrami,pastramis
pencil,pencils
penguin,penguins
pigeon,pigeons
radar,radars
radio,radios
rat,rats
salami,salamis
salmon,salmon
sausage,sausages
shoe,shoes
sock,socks
sofa,sofas
sonar,sonars
star,stars
stench,stenches
suit,suits
surrealist,surrealists
telephone,telephones
Tibet,Tibets
tissue,tissues
tongue,tongues
tooth,teeth
trunk,trunks
tuna,tunas
Tuva,Tuvas
wallpaper,wallpapers
wallpaper_poem,wallpaper_poems
walnut,walnuts
war,wars
watch,watches
web,webs
weed,weeds
wench,wenches
wish,wishes
wrench,wrenches
yak,yaks
